datetime,open,high,low,close,volume
2025-01-02 04:00:00,281.67,282.55,280.1,281.27,937
2025-01-02 04:15:00,281.27,281.8,281.27,281.3,420
2025-01-02 04:30:00,281.65,281.68,281.28,281.65,355
2025-01-02 04:45:00,281.65,281.89,281.33,281.89,444
2025-01-02 05:00:00,281.89,281.9,281.38,281.79,523
2025-01-02 05:15:00,281.78,282.0,281.34,281.99,367
2025-01-02 05:30:00,281.6,282.4,281.53,282.36,1200
2025-01-02 05:45:00,282.36,282.5,282.01,282.46,374
2025-01-02 06:00:00,282.46,282.46,282.15,282.44,371
2025-01-02 06:15:00,282.19,282.43,282.01,282.34,483
2025-01-02 06:30:00,282.03,282.34,281.72,281.75,418
2025-01-02 06:45:00,281.75,282.12,281.62,281.99,464
2025-01-02 07:00:00,281.71,281.99,281.44,281.82,424
2025-01-02 07:15:00,281.51,282.0,281.51,281.56,588
2025-01-02 07:30:00,281.91,282.0,281.37,281.4,2022
2025-01-02 07:45:00,281.4,281.73,280.13,281.59,3089
2025-01-02 08:00:00,281.1,281.59,281.08,281.59,408
2025-01-02 08:15:00,281.5,281.59,281.2,281.21,662
2025-01-02 08:30:00,281.21,281.58,281.2,281.56,330
2025-01-02 08:45:00,281.21,281.59,281.2,281.22,522
2025-01-02 09:00:00,281.57,281.59,281.2,281.58,653
2025-01-02 09:15:00,281.57,281.59,281.22,281.25,558
2025-01-02 09:30:00,281.25,281.57,281.21,281.47,688
2025-01-02 09:45:00,281.22,281.6,280.61,281.39,4670
2025-01-02 10:00:00,280.95,281.45,280.95,281.17,378
2025-01-02 10:15:00,281.44,281.44,281.01,281.17,547
2025-01-02 10:30:00,281.39,281.54,281.15,281.18,402
2025-01-02 10:45:00,281.54,281.57,281.18,281.56,379
2025-01-02 11:00:00,281.56,281.56,281.18,281.18,231
2025-01-02 11:15:00,281.49,281.5,281.18,281.39,423
2025-01-02 11:30:00,281.18,281.49,281.18,281.44,369
2025-01-02 11:45:00,281.19,281.55,281.17,281.55,342
2025-01-02 12:00:00,281.55,281.56,281.17,281.53,846
2025-01-02 12:15:00,281.21,281.54,281.21,281.49,214
2025-01-02 12:30:00,281.49,281.54,281.19,281.47,359
2025-01-02 12:45:00,281.23,281.54,281.01,281.11,733
2025-01-02 13:00:00,281.12,281.49,281.02,281.1,351
2025-01-02 13:15:00,281.41,281.51,281.07,281.16,579
2025-01-02 13:30:00,281.16,281.49,281.16,281.47,263
2025-01-02 13:45:00,281.37,281.5,281.09,281.49,607
2025-01-02 14:00:00,281.5,281.51,281.12,281.5,799
2025-01-02 14:15:00,281.16,281.52,281.14,281.51,265
2025-01-02 14:30:00,281.51,281.51,280.92,281.0,1986
2025-01-02 14:45:00,281.0,281.0,280.91,280.99,186
2025-01-02 15:00:00,280.99,281.0,280.91,280.91,386
2025-01-02 15:15:00,280.91,281.0,280.91,280.93,368
2025-01-02 15:30:00,280.99,281.21,280.92,281.16,4310
2025-01-02 15:45:00,281.16,281.21,280.92,281.2,198
2025-01-02 16:00:00,281.2,281.21,280.94,281.2,399
2025-01-02 16:15:00,281.01,281.21,281.0,281.0,430
2025-01-02 16:30:00,281.0,281.21,280.93,281.18,978
2025-01-02 16:45:00,281.18,281.18,280.93,281.14,485
2025-01-02 17:00:00,281.14,281.15,280.93,281.14,349
2025-01-02 17:15:00,281.14,281.16,280.92,281.16,520
2025-01-02 17:30:00,281.16,281.16,280.93,281.16,152
2025-01-02 17:45:00,281.16,281.2,281.0,281.19,485
2025-01-02 18:00:00,281.19,281.2,281.01,281.1,246
2025-01-02 18:15:00,281.1,281.2,280.28,281.06,2254
2025-01-02 18:30:00,280.85,281.06,280.31,280.53,263
2025-01-02 18:45:00,280.85,281.05,280.5,280.5,373
2025-01-02 19:00:00,280.92,281.44,280.5,280.77,2473
2025-01-02 19:15:00,280.77,280.78,280.3,280.35,1277
2025-01-02 19:30:00,280.35,280.71,279.8,280.01,2171
2025-01-02 19:45:00,280.01,280.52,280.01,280.03,368
2025-01-02 20:00:00,280.33,280.46,279.82,280.17,714
2025-01-02 20:15:00,280.14,280.17,279.8,280.17,1040
2025-01-02 20:30:00,280.16,280.25,279.81,280.25,631
2025-01-02 20:45:00,280.25,280.4,279.82,280.4,132
2025-01-03 04:00:00,279.37,282.79,279.37,281.43,1573
2025-01-03 04:15:00,281.78,281.78,281.16,281.57,483
2025-01-03 04:30:00,281.31,281.57,281.27,281.29,98
2025-01-03 04:45:00,281.29,281.6,281.29,281.6,276
2025-01-03 05:00:00,281.59,281.7,281.46,281.69,717
2025-01-03 05:15:00,281.69,281.7,281.19,281.7,1216
2025-01-03 05:30:00,281.28,281.77,281.18,281.47,1172
2025-01-03 05:45:00,281.49,281.49,281.18,281.26,326
2025-01-03 06:00:00,281.48,281.48,280.52,281.37,831
2025-01-03 06:15:00,280.95,281.39,280.95,281.1,752
2025-01-03 06:30:00,281.02,281.35,280.95,281.22,1110
2025-01-03 06:45:00,280.0,280.0,280.0,280.0,15815
2025-01-03 07:00:00,279.99,280.41,278.11,278.4,572174
2025-01-03 07:15:00,278.42,279.01,276.53,276.89,385447
2025-01-03 07:30:00,276.89,277.73,276.6,276.87,190944
2025-01-03 07:45:00,276.87,276.87,275.2,275.8,271030
2025-01-03 08:00:00,275.8,275.8,274.5,275.02,229720
2025-01-03 08:15:00,275.02,275.46,274.9,275.22,153770
2025-01-03 08:30:00,275.22,275.82,274.3,275.4,127629
2025-01-03 08:45:00,275.39,275.75,274.85,275.13,79749
2025-01-03 09:00:00,275.11,275.29,274.31,274.61,86493
2025-01-03 09:15:00,274.61,274.93,273.88,273.91,110339
2025-01-03 09:30:00,273.9,274.36,273.36,273.42,292860
2025-01-03 09:45:00,273.43,274.42,273.04,273.88,125421
2025-01-03 10:00:00,273.88,273.98,273.31,273.88,77674
2025-01-03 10:15:00,273.88,274.2,273.83,273.99,49510
2025-01-03 10:30:00,273.99,274.32,273.57,274.32,56109
2025-01-03 10:45:00,274.31,274.32,273.67,273.91,84734
2025-01-03 11:00:00,273.91,274.0,272.2,272.34,160101
2025-01-03 11:15:00,272.34,272.93,272.05,272.57,122190
2025-01-03 11:30:00,272.54,273.29,271.8,273.29,152558
2025-01-03 11:45:00,273.29,273.32,272.9,272.92,54216
2025-01-03 12:00:00,272.92,273.7,272.48,273.54,78574
2025-01-03 12:15:00,273.59,273.65,273.1,273.29,40993
2025-01-03 12:30:00,273.31,273.47,272.92,273.35,26277
2025-01-03 12:45:00,273.36,273.44,272.99,273.03,26851
2025-01-03 13:00:00,273.06,273.06,272.43,272.73,26727
2025-01-03 13:15:00,272.71,273.1,272.67,272.98,22861
2025-01-03 13:30:00,272.98,273.02,272.7,272.78,14076
2025-01-03 13:45:00,272.78,273.03,272.53,272.96,35924
2025-01-03 14:00:00,272.95,273.87,272.95,273.85,73964
2025-01-03 14:15:00,273.85,273.93,273.35,273.71,40460
2025-01-03 14:30:00,273.71,274.33,273.67,273.98,75161
2025-01-03 14:45:00,273.98,274.04,273.56,273.56,34889
2025-01-03 15:00:00,273.57,273.67,273.16,273.17,21215
2025-01-03 15:15:00,273.17,273.42,272.85,273.1,43104
2025-01-03 15:30:00,273.15,273.19,272.92,273.01,17561
2025-01-03 15:45:00,273.2,273.2,273.2,273.2,2852
2025-01-03 16:00:00,273.21,273.21,272.72,272.72,19524
2025-01-03 16:15:00,272.72,272.93,272.6,272.91,20429
2025-01-03 16:30:00,272.9,272.95,272.8,272.85,10830
2025-01-03 16:45:00,272.88,272.89,272.6,272.7,12533
2025-01-03 17:00:00,272.71,272.78,272.5,272.75,30144
2025-01-03 17:15:00,272.75,272.9,272.65,272.9,12984
2025-01-03 17:30:00,272.9,272.95,272.71,272.79,7465
2025-01-03 17:45:00,272.79,272.83,272.54,272.68,18505
2025-01-03 18:00:00,272.68,272.81,272.58,272.76,8299
2025-01-03 18:15:00,272.8,272.88,272.6,272.76,10645
2025-01-03 18:30:00,272.83,272.94,272.76,272.93,10662
2025-01-03 18:45:00,272.94,272.94,272.88,272.88,11999
2025-01-03 19:00:00,272.9,273.13,272.87,273.11,17794
2025-01-03 19:15:00,273.13,273.19,272.81,273.0,16534
2025-01-03 19:30:00,273.01,273.02,272.96,272.99,4728
2025-01-03 19:45:00,272.99,273.0,272.9,272.94,7852
2025-01-03 20:00:00,272.9,272.91,272.7,272.72,16748
2025-01-03 20:15:00,272.72,272.82,272.62,272.63,20555
2025-01-03 20:30:00,272.67,272.74,272.25,272.33,52093
2025-01-03 20:45:00,272.31,272.31,272.1,272.25,18392
2025-01-03 23:00:00,270.96,274.39,270.96,272.67,401
2025-01-03 23:15:00,272.24,272.96,272.03,272.85,26
2025-01-03 23:30:00,272.85,272.85,272.09,272.09,29
2025-01-03 23:45:00,272.69,272.72,272.04,272.54,372
2025-01-04 00:00:00,272.47,272.7,272.47,272.65,28
2025-01-04 00:15:00,272.65,272.68,272.04,272.05,40
2025-01-04 00:30:00,272.68,272.69,272.09,272.09,27
2025-01-04 00:45:00,272.68,272.68,272.04,272.04,56
2025-01-04 01:00:00,272.66,272.67,272.07,272.66,27
2025-01-04 01:15:00,272.67,272.68,272.1,272.65,36
2025-01-04 01:30:00,272.13,272.65,272.13,272.65,6
2025-01-04 01:45:00,272.66,272.67,272.14,272.14,26
2025-01-04 02:00:00,272.13,272.67,272.13,272.2,37
2025-01-04 02:15:00,272.64,272.65,272.19,272.65,20
2025-01-04 02:30:00,272.65,272.65,272.19,272.2,22
2025-01-04 02:45:00,272.2,272.64,272.2,272.21,30
2025-01-04 03:00:00,272.21,272.64,272.2,272.2,58
2025-01-04 03:15:00,272.22,272.63,272.21,272.22,35
2025-01-04 03:30:00,272.22,272.63,272.22,272.3,30
2025-01-04 03:45:00,272.63,272.63,272.21,272.26,124
2025-01-04 04:00:00,272.26,272.67,272.21,272.63,369
2025-01-04 04:15:00,272.61,272.62,272.22,272.22,176
2025-01-04 04:30:00,272.22,272.6,272.12,272.13,1130
2025-01-04 04:45:00,272.5,272.51,272.1,272.28,81
2025-01-04 05:00:00,272.09,272.19,272.04,272.15,142
2025-01-04 05:15:00,272.05,272.16,272.05,272.06,121
2025-01-04 05:30:00,272.2,272.68,272.05,272.34,1195
2025-01-04 05:45:00,272.4,272.63,272.27,272.27,152
2025-01-04 06:00:00,272.29,272.65,272.28,272.28,188
2025-01-04 06:15:00,272.28,272.52,272.21,272.3,209
2025-01-04 06:30:00,272.3,272.38,272.23,272.26,252
2025-01-04 06:45:00,272.26,272.52,272.25,272.27,475
2025-01-04 07:00:00,272.28,272.52,272.27,272.52,435
2025-01-04 07:15:00,272.28,272.71,272.2,272.57,1693
2025-01-04 07:30:00,272.27,272.57,272.21,272.3,359
2025-01-04 07:45:00,272.51,272.66,272.28,272.63,376
2025-01-04 08:00:00,272.63,272.66,272.28,272.33,395
2025-01-04 08:15:00,272.33,272.62,272.32,272.36,262
2025-01-04 08:30:00,272.6,272.6,272.28,272.3,253
2025-01-04 08:45:00,272.28,272.3,272.24,272.28,1132
2025-01-04 09:00:00,272.24,272.53,272.22,272.51,779
2025-01-04 09:15:00,272.51,272.54,272.22,272.49,687
2025-01-04 09:30:00,272.45,272.58,272.22,272.49,364
2025-01-04 09:45:00,272.29,272.55,272.25,272.51,247
2025-01-04 10:00:00,272.51,272.54,272.24,272.26,955
2025-01-04 10:15:00,272.5,272.54,272.26,272.53,218
2025-01-04 10:30:00,272.29,272.53,272.27,272.27,200
2025-01-04 10:45:00,272.5,272.51,272.26,272.5,238
2025-01-04 11:00:00,272.5,272.5,272.25,272.26,294
2025-01-04 11:15:00,272.26,272.46,272.25,272.27,354
2025-01-04 11:30:00,272.27,272.5,272.25,272.5,686
2025-01-04 11:45:00,272.3,272.5,272.24,272.25,351
2025-01-04 12:00:00,272.45,272.45,271.78,271.99,5823
2025-01-04 12:15:00,271.95,272.44,271.95,272.42,455
